Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
530843,CUPID,Cupid Ltd-$,18 Sep 2023,Final Dividend - Rs. - 3.0000,18 Sep 2023,-,-,12 Sep 2023,18 Sep 2023,-
543547,DDEVPLSTIK,Ddev Plastiks Industries Ltd,18 Sep 2023,Final Dividend - Rs. - 1.0000,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
543288,DEEPINDS,Deep Industries Ltd,18 Sep 2023,Final Dividend - Rs. - 1.8500,18 Sep 2023,-,-,12 Sep 2023,18 Sep 2023,-
531306,DHPIND,DHP India Ltd,18 Sep 2023,Final Dividend - Rs. - 4.0000,18 Sep 2023,-,-,12 Sep 2023,18 Sep 2023,-
512519,DONEAR,Donear Industries Ltd-$,18 Sep 2023,Final Dividend - Rs. - 0.2000,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
532922,EDELWEISS,Edelweiss Financial Services Ltd,18 Sep 2023,Final Dividend - Rs. - 1.2500,-,20 Sep 2023,25 Sep 2023,13 Sep 2023,20 Sep 2023,-
522017,FLUIDOM,Fluidomat Ltd,18 Sep 2023,Final Dividend - Rs. - 4.5000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
532296,GLENMARK,Glenmark Pharmaceuticals Ltd,18 Sep 2023,Final Dividend - Rs. - 2.5000,-,19 Sep 2023,29 Sep 2023,13 Sep 2023,18 Sep 2023,-
500670,GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,18 Sep 2023,Final Dividend - Rs. - 30.0000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
530001,GUJALKALI,Gujarat Alkalies and Chemicals Ltd,18 Sep 2023,Dividend - Rs. - 23.5500,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
524735,HIKAL,Hikal Ltd,18 Sep 2023,Final Dividend - Rs. - 0.6000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
519463,IBINFO,IB Infotech Enterprises Ltd,18 Sep 2023,Final Dividend - Rs. - 0.5000,-,20 Sep 2023,22 Sep 2023,13 Sep 2023,20 Sep 2023,-
531253,INDGELA,India Gelatine & Chemicals Ltd-$,18 Sep 2023,Final Dividend - Rs. - 5.0000,-,20 Sep 2023,27 Sep 2023,13 Sep 2023,20 Sep 2023,-
532612,INDOCO,Indoco Remedies Ltd,18 Sep 2023,Final Dividend - Rs. - 2.2500,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
539807,INFIBEAM,Infibeam Avenues Ltd,18 Sep 2023,Final Dividend - Rs. - 0.0500,19 Sep 2023,-,-,13 Sep 2023,18 Sep 2023,-
506943,JBCHEPHARM,JB Chemicals & Pharmaceuticals Ltd,18 Sep 2023,Stock  Split From Rs.2/- to Rs.1/-,18 Sep 2023,-,-,12 Sep 2023,18 Sep 2023,-
500234,KAKATCEM,Kakatiya Cement Sugar & Industries Ltd,18 Sep 2023,Final Dividend - Rs. - 3.0000,18 Sep 2023,-,-,12 Sep 2023,18 Sep 2023,-
539620,KEIL,Kanoria Energy & Infrastructure Ltd,18 Sep 2023,Final Dividend - Rs. - 0.0500,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
